Level	Date and Time	User	Category	Description	
Information	16/09/2013 13:53:53	administrator	System	MBB3A10016 left network	
Alarm	16/09/2013 13:37:40	administrator	System	Router(F082000008) is offline.	
Alarm	16/09/2013 13:37:12	administrator	System	MultiRAE Lite(MAB3A10002) is offline.	
Information	16/09/2013 13:37:12	administrator	System	MAB3A10002 left network	
Information	16/09/2013 13:37:00	administrator	System	MultiRAE Lite(MAB3A10002) goes online.	
Alarm	16/09/2013 13:37:00	administrator	System	MultiRAE Lite(MAB3A10002) is in alarm: [LEL: CAL OXY: CAL H2S: CAL CO: CAL VOC: CAL ]	
Information	16/09/2013 13:36:21	administrator	System	MBB3A10016 left network	
Alarm	16/09/2013 13:35:33	administrator	System	MultiRAE Lite(MAB3A10001) is offline.	
Information	16/09/2013 13:35:33	administrator	System	MAB3A10001 left network	
Information	16/09/2013 13:35:16	administrator	System	MultiRAE Lite(MAB3A10001) goes online.	
Alarm	16/09/2013 13:35:16	administrator	System	MultiRAE Lite(MAB3A10001) is in alarm: [LEL: CAL OXY: CAL H2S: CAL CO: CAL VOC: CAL ]	
Information	16/09/2013 13:34:45	administrator	System	MAC4A10007 left network because of entering PC Comm mode.	
Information	16/09/2013 13:04:17	administrator	System	ToxiRAE Pro(G021001237) goes online.	
Alarm	16/09/2013 13:04:17	administrator	System	ToxiRAE Pro(G021001237) is in alarm: [LEL: NEG ]	
Information	16/09/2013 13:03:14	administrator	System	Router(F082000008) goes online.	
Information	16/09/2013 11:22:40	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.244:21197 logoff.	
Information	16/09/2013 11:22:40	administrator	System	Data Forwarding: 172.18.50.244:21197 is disconnected.	
Information	16/09/2013 11:18:51	administrator	System	Data Forwarding: 172.18.50.244:21197 is connected.	
Information	16/09/2013 11:18:51	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.244:21197 passed authorization and logon.	
Information	16/09/2013 11:17:55	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.244:21112 logoff.	
Information	16/09/2013 11:17:55	administrator	System	Data Forwarding: 172.18.50.244:21112 is disconnected.	
Information	16/09/2013 11:15:58	administrator	System	Data Forwarding: 172.18.50.244:21112 is connected.	
Information	16/09/2013 11:15:58	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.244:21112 passed authorization and logon.	
Information	16/09/2013 11:14:33	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.244:21002 logoff.	
Information	16/09/2013 11:14:33	administrator	System	Data Forwarding: 172.18.50.244:21002 is disconnected.	
Alarm	16/09/2013 11:13:40	administrator	System	ToxiRAE Pro(G021001237) is offline.	
Information	16/09/2013 11:13:20	administrator	System	Data Forwarding: 172.18.50.244:21002 is connected.	
Information	16/09/2013 11:13:20	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.244:21002 passed authorization and logon.	
Information	16/09/2013 11:12:35	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.244:20833 logoff.	
Information	16/09/2013 11:12:35	administrator	System	Data Forwarding: 172.18.50.244:20833 is disconnected.	
Information	16/09/2013 11:10:52	administrator	System	Data Forwarding: 172.18.50.244:20833 is connected.	
Information	16/09/2013 11:10:52	administrator	System	Data forwarding: ProRAE Guardian V1.70 w-sw-hbzhang at IP address 172.18.50.244:20833 passed authorization and logon.	
Alarm	16/09/2013 11:06:40	administrator	System	MultiRAE(MBB3A10014) is offline.	
Information	16/09/2013 11:03:27	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-rec-kren at IP address 172.18.50.81:4015 logoff.	
Information	16/09/2013 11:03:27	administrator	System	Data Forwarding: 172.18.50.81:4015 is disconnected.	
Information	16/09/2013 11:03:07	administrator	System	MultiRAE(MBB3A10014) goes online.	
Alarm	16/09/2013 11:03:07	administrator	System	MultiRAE(MBB3A10014) is in alarm: [OXY: BumpDue OXY: CalDue OXY: CalDue OXY: CalDue OXY: CalDue ]	
Alarm	16/09/2013 10:58:40	administrator	System	Router(F082000008) is offline.	
Alarm	16/09/2013 10:55:00	administrator	System	MultiRAE(MBB3A10014) is offline.	
Information	16/09/2013 10:55:00	administrator	System	MBB3A10014 left network because of entering PC Comm mode.	
Information	16/09/2013 10:53:28	administrator	System	MultiRAE(MBB3A10014) goes online.	
Alarm	16/09/2013 10:53:28	administrator	System	MultiRAE(MBB3A10014) is in alarm: [OXY: BumpDue OXY: Low OXY: Low OXY: Low OXY: Low ]	
Information	16/09/2013 10:51:28	administrator	System	Router(F082000008) goes online.	
Alarm	16/09/2013 10:48:40	administrator	System	MultiRAE(MBB3A10014) is offline.	
Information	16/09/2013 10:44:59	administrator	System	MultiRAE(MBB3A10014) goes online.	
Alarm	16/09/2013 10:44:59	administrator	System	MultiRAE(MBB3A10014) is in alarm: [OXY: BumpDue OXY: CalDue OXY: CalDue OXY: CalDue OXY: CalDue ]	
Alarm	16/09/2013 10:35:40	administrator	System	Router(F082000008) is offline.	
Information	16/09/2013 10:26:29	administrator	System	Router(F082000008) goes online.	
Alarm	16/09/2013 09:48:40	administrator	System	MultiRAE(MBB3A10014) is offline.	
Information	16/09/2013 09:45:04	administrator	System	MultiRAE(MBB3A10014) goes online.	
Alarm	16/09/2013 09:45:04	administrator	System	MultiRAE(MBB3A10014) is in alarm: [OXY: BumpDue OXY: Low OXY: Low OXY: CalDue OXY: CalDue ]	
Alarm	16/09/2013 09:21:40	administrator	System	Router(F082000008) is offline.	
Alarm	16/09/2013 09:14:40	administrator	System	MultiRAE(MBB3A10014) is offline.	
Information	16/09/2013 09:10:48	administrator	System	MultiRAE(MBB3A10014) goes online.	
Alarm	16/09/2013 09:10:48	administrator	System	MultiRAE(MBB3A10014) is in alarm: [OXY: BumpDue OXY: Low OXY: Low OXY: CalDue OXY: Low ]	
Information	16/09/2013 08:41:50	administrator	System	Router(F082000008) goes online.	
Alarm	16/09/2013 08:26:40	administrator	System	Router(F082000008) is offline.	
Information	16/09/2013 08:24:10	administrator	System	Data forwarding: ProRAE Guardian V1.80 rec-sw-wlxu at IP address 172.18.50.153:40317 logoff.	
Information	16/09/2013 08:24:10	administrator	System	Data Forwarding: 172.18.50.153:40317 is disconnected.	
Information	16/09/2013 08:13:57	administrator	System	Data Forwarding: 172.18.50.153:40317 is connected.	
Information	16/09/2013 08:13:57	administrator	System	Data forwarding: ProRAE Guardian V1.80 rec-sw-wlxu at IP address 172.18.50.153:40317 passed authorization and logon.	
Information	16/09/2013 08:04:58	administrator	System	ToxiRAE Pro(G021001237) goes online.	
Alarm	16/09/2013 08:04:58	administrator	System	ToxiRAE Pro(G021001237) is in alarm: [LEL: NEG ]	
Alarm	16/09/2013 00:37:39	administrator	System	ToxiRAE Pro(G021001237) is offline.	
Information	15/09/2013 16:01:18	administrator	System	ToxiRAE Pro(G021200BN2) goes online.	
Alarm	15/09/2013 16:01:18	administrator	System	ToxiRAE Pro(G021200BN2) is in alarm: [Pump/Fan VOC: TWA ]	
Alarm	15/09/2013 15:49:39	administrator	System	ToxiRAE Pro(G021200BN2) is offline.	
Information	15/09/2013 15:04:48	administrator	System	Router(F082000008) goes online.	
Information	15/09/2013 09:29:56	administrator	System	Router(F082000003) goes online.	
Alarm	15/09/2013 09:26:39	administrator	System	Router(F082000003) is offline.	
Information	15/09/2013 06:38:18	administrator	System	ToxiRAE Pro(G021001237) goes online.	
Alarm	15/09/2013 06:38:18	administrator	System	ToxiRAE Pro(G021001237) is in alarm: [LEL: NEG ]	
Information	15/09/2013 06:32:45	administrator	System	ToxiRAE Pro(G0212006P2) goes online.	
Alarm	15/09/2013 06:32:45	administrator	System	ToxiRAE Pro(G0212006P2) is in alarm: [OXY: CalDue ]	
Alarm	15/09/2013 06:25:39	administrator	System	ToxiRAE Pro(G021001237) is offline.	
Alarm	15/09/2013 04:18:40	administrator	System	ToxiRAE Pro(G0212006P2) is offline.	
Alarm	15/09/2013 04:16:40	administrator	System	Router(F082000008) is offline.	
Information	15/09/2013 04:08:43	administrator	System	Router(F082000008) goes online.	
Information	15/09/2013 04:07:38	administrator	System	Data Forwarding: 172.18.50.81:4015 is connected.	
Information	15/09/2013 04:07:38	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-rec-kren at IP address 172.18.50.81:4015 passed authorization and logon.	
Information	15/09/2013 04:05:57	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-rec-kren at IP address 172.18.50.81:3209 logoff.	
Information	15/09/2013 04:05:57	administrator	System	Data Forwarding: 172.18.50.81:3209 is disconnected.	
Alarm	15/09/2013 03:45:40	administrator	System	Router(F082000008) is offline.	
Information	15/09/2013 03:37:42	administrator	System	Router(F082000008) goes online.	
Alarm	14/09/2013 21:12:40	administrator	System	Router(F082000008) is offline.	
Information	14/09/2013 21:05:40	administrator	System	Router(F082000008) goes online.	
Alarm	14/09/2013 20:49:40	administrator	System	Router(F082000008) is offline.	
Information	14/09/2013 20:42:02	administrator	System	Router(F082000008) goes online.	
Alarm	14/09/2013 14:34:41	administrator	System	Router(F082000008) is offline.	
Information	14/09/2013 14:27:30	administrator	System	Router(F082000008) goes online.	
Alarm	14/09/2013 12:13:40	administrator	System	Router(F082000008) is offline.	
Information	14/09/2013 12:05:58	administrator	System	Router(F082000008) goes online.	
Alarm	14/09/2013 11:51:40	administrator	System	Router(F082000008) is offline.	
Information	14/09/2013 11:44:28	administrator	System	Router(F082000008) goes online.	
Alarm	14/09/2013 10:43:40	administrator	System	Router(F082000008) is offline.	
Alarm	13/09/2013 23:06:14	administrator	System	ToxiRAE Pro(G021000006) is offline.	
Information	13/09/2013 23:06:14	administrator	System	G021000006 was powered off because of low battery.	
Alarm	13/09/2013 22:54:06	administrator	System	ToxiRAE Pro(G021000006) is in alarm: [Battery]	
Information	13/09/2013 21:14:30	administrator	System	ToxiRAE Pro(G021001237) goes online.	
Alarm	13/09/2013 21:14:30	administrator	System	ToxiRAE Pro(G021001237) is in alarm: [LEL: NEG ]	
Alarm	13/09/2013 20:53:41	administrator	System	ToxiRAE Pro(G021001237) is offline.	
Information	13/09/2013 17:14:41	administrator	System	ToxiRAE Pro(G021001237) goes online.	
Alarm	13/09/2013 17:14:41	administrator	System	ToxiRAE Pro(G021001237) is in alarm: [LEL: NEG ]	
Alarm	13/09/2013 17:13:41	administrator	System	ToxiRAE Pro(G021001237) is offline.	
Information	13/09/2013 16:39:26	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-rec-kren at IP address 172.18.50.81:3209 passed authorization and logon.	
Information	13/09/2013 16:39:17	administrator	System	Data Forwarding: 172.18.50.81:3195 is disconnected.	
Information	13/09/2013 16:39:17	administrator	System	Data Forwarding: 172.18.50.81:3209 is connected.	
Information	13/09/2013 16:39:07	administrator	System	Data Forwarding: 172.18.50.81:3180 is disconnected.	
Information	13/09/2013 16:39:07	administrator	System	Data Forwarding: 172.18.50.81:3195 is connected.	
Information	13/09/2013 16:38:57	administrator	System	Data Forwarding: 172.18.50.81:3165 is disconnected.	
Information	13/09/2013 16:38:57	administrator	System	Data Forwarding: 172.18.50.81:3180 is connected.	
Information	13/09/2013 16:38:47	administrator	System	Data Forwarding: 172.18.50.81:3165 is connected.	
Information	13/09/2013 16:32:58	administrator	System	Data forwarding: ProRAE Guardian V1.70 fchen-PC at IP address 172.18.12.73:27953 logoff.	
Information	13/09/2013 16:32:58	administrator	System	Data Forwarding: 172.18.12.73:27953 is disconnected.	
Alarm	13/09/2013 16:19:42	administrator	System	MultiRAE(MBB3A10014) is offline.	
Information	13/09/2013 16:15:32	administrator	System	MultiRAE(MBB3A10014) goes online.	
Alarm	13/09/2013 16:15:32	administrator	System	MultiRAE(MBB3A10014) is in alarm: [OXY: BumpDue OXY: CalDue OXY: Low OXY: CalDue OXY: CalDue ]	
Information	13/09/2013 16:14:26	administrator	System	Data Forwarding: 172.18.12.73:27953 is connected.	
Information	13/09/2013 16:14:26	administrator	System	Data forwarding: ProRAE Guardian V1.70 fchen-PC at IP address 172.18.12.73:27953 passed authorization and logon.	
Information	13/09/2013 15:32:57	administrator	System	Router(F082000008) goes online.	
Information	13/09/2013 14:30:48	administrator	System	Data forwarding: ProRAE Guardian V1.70 fchen-PC at IP address 172.18.12.73:27276 logoff.	
Information	13/09/2013 14:30:48	administrator	System	Data Forwarding: 172.18.12.73:27276 is disconnected.	
Information	13/09/2013 14:28:35	administrator	System	Data forwarding: ProRAE Guardian V1.70 fchen-PC at IP address 172.18.12.73:27276 passed authorization and logon.	
Information	13/09/2013 14:28:34	administrator	System	Data Forwarding: 172.18.12.73:27276 is connected.	
Information	13/09/2013 14:12:41	administrator	System	Data forwarding: ProRAE Guardian V1.70 fchen-PC at IP address 172.18.12.73:27167 logoff.	
Information	13/09/2013 14:12:41	administrator	System	Data Forwarding: 172.18.12.73:27167 is disconnected.	
Alarm	13/09/2013 14:07:19	administrator	System	MultiRAE Lite(ME1-000001) is offline.	
Information	13/09/2013 14:07:19	administrator	System	ME1-000001 was powered off by manually set.	
Information	13/09/2013 14:06:06	administrator	System	Data Forwarding: 172.18.12.73:27167 is connected.	
Information	13/09/2013 14:06:06	administrator	System	Data forwarding: ProRAE Guardian V1.70 fchen-PC at IP address 172.18.12.73:27167 passed authorization and logon.	
Information	13/09/2013 14:04:17	administrator	System	MultiRAE Lite(ME1-000001) goes online.	
Alarm	13/09/2013 14:04:17	administrator	System	MultiRAE Lite(ME1-000001) is in alarm: [H2S: CalDue CO: CalDue CO: CalDue H2S: CalDue CO: CalDue H2S: CalDue H2S: CalDue CO: CalDue ]	
Alarm	13/09/2013 13:52:42	administrator	System	MultiRAE(MBB3A10014) is offline.	
Information	13/09/2013 13:49:00	administrator	System	MultiRAE(MBB3A10014) goes online.	
Alarm	13/09/2013 13:49:00	administrator	System	MultiRAE(MBB3A10014) is in alarm: [OXY: High OXY: Low OXY: Low OXY: BumpDue VOC: CalDue ]	
Information	13/09/2013 13:46:28	administrator	System	Data forwarding: ProRAE Guardian V1.70 fchen-PC at IP address 172.18.12.73:26401 logoff.	
Information	13/09/2013 13:46:28	administrator	System	Data Forwarding: 172.18.12.73:26401 is disconnected.	
